Time (sec)	L-shell	10 MeV/G	32 MeV/G	100 MeV/G	320 MeV/G	1000 MeV/G	3200 MeV/G	10000 MeV/G	32000 MeV/G	100000 MeV/G	320000 MeV/G
275032505	9.7860	0.096229929	0.001989368	5.33698E-05	1.76826E-06	8.34734E-08	4.57871E-09	3.0359E-10	2.05532E-11	1.53478E-12	1.11307E-13
343927505	9.7862	0.000308851	4.58312E-05	6.79155E-06	8.82918E-07	1.02671E-07	9.26483E-09	7.05247E-10	4.16991E-11	2.2493E-12	1.02864E-13
326158505	9.7865	0.000506288	6.48442E-05	8.37379E-06	9.58687E-07	1.00662E-07	8.48246E-09	6.3244E-10	3.84979E-11	2.22985E-12	1.13256E-13
347302505	9.7870	6.82572E-05	1.75756E-05	4.04818E-06	7.03835E-07	9.27956E-08	8.55453E-09	6.39661E-10	3.73528E-11	2.0362E-12	9.63692E-14
312077105	9.7879	0.000375566	3.82277E-05	4.12885E-06	4.26288E-07	4.42373E-08	3.98522E-09	3.34816E-10	2.37845E-11	1.62961E-12	9.90692E-14
251375705	9.7903	0.0014033	0.000158715	1.7508E-05	1.62676E-06	1.35842E-07	9.2628E-09	5.93896E-10	3.31277E-11	1.86181E-12	9.54777E-14
291572105	9.7910	0.019317665	0.000633368	2.57091E-05	1.21942E-06	7.58896E-08	5.09352E-09	3.76849E-10	2.55768E-11	1.68395E-12	9.31488E-14
337684505	9.7937	0.000317079	4.13495E-05	5.32659E-06	5.92143E-07	5.96504E-08	4.90077E-09	3.71072E-10	2.40762E-11	1.546E-12	8.98923E-14
297026105	9.7984	0.000344271	4.88453E-05	6.97083E-06	8.81018E-07	1.00686E-07	8.9854E-09	6.77558E-10	3.95813E-11	2.10175E-12	9.42335E-14
397497905	9.8012	0.000114016	2.65429E-05	5.57396E-06	8.93224E-07	1.10789E-07	9.82184E-09	7.23224E-10	4.24078E-11	2.35461E-12	1.14653E-13
282665105	9.8016	0.003882161	0.000301553	2.52481E-05	2.03787E-06	1.67695E-07	1.19406E-08	7.94269E-10	4.42788E-11	2.3854E-12	1.13233E-13
351566705	9.8035	0.021293438	0.000813971	3.79902E-05	2.04149E-06	1.40747E-07	1.02567E-08	7.95447E-10	5.26389E-11	2.86432E-12	8.97871E-14
263495105	9.8042	0.001276638	7.96794E-05	5.68331E-06	4.2827E-07	3.69001E-08	3.06369E-09	2.55874E-10	1.88438E-11	1.36126E-12	8.779E-14
312075905	9.8056	0.000348667	3.66706E-05	4.08593E-06	4.34615E-07	4.62437E-08	4.23731E-09	3.57279E-10	2.50759E-11	1.67374E-12	9.79537E-14
301334705	9.8078	0.000371731	5.13273E-05	7.10583E-06	8.66401E-07	9.55245E-08	8.3E-09	6.22886E-10	3.72498E-11	2.07821E-12	1.00093E-13
251376305	9.8135	0.004360672	0.000281201	2.02623E-05	1.48205E-06	1.17633E-07	8.47323E-09	5.8457E-10	3.40011E-11	1.89791E-12	9.25516E-14
326159105	9.8138	0.000845918	8.78687E-05	9.56114E-06	9.72157E-07	9.64426E-08	8.02468E-09	6.04706E-10	3.74503E-11	2.2014E-12	1.12989E-13
279271505	9.8148	0.001903257	0.00012318	8.81693E-06	6.32905E-07	4.94511E-08	3.62588E-09	2.71084E-10	1.85022E-11	1.29606E-12	8.42054E-14
263456105	9.8149	0.007950559	0.000296479	1.25042E-05	5.77482E-07	3.46735E-08	2.32035E-09	1.82572E-10	1.45357E-11	1.26385E-12	1.06669E-13
343926905	9.8172	0.000346289	4.94762E-05	7.08837E-06	8.95511E-07	1.02001E-07	9.08645E-09	6.88762E-10	4.08777E-11	2.22744E-12	1.03414E-13
251327105	9.8187	0.00044323	7.40433E-05	1.1047E-05	1.24195E-06	1.13145E-07	7.98999E-09	5.21113E-10	2.95418E-11	1.69216E-12	8.87791E-14
307157105	9.8211	0.018040782	0.000784271	3.13165E-05	1.2469E-06	6.38982E-08	3.66532E-09	2.49973E-10	1.72934E-11	1.31457E-12	9.69151E-14
334805705	9.8219	9.16444E-05	3.65702E-05	1.14757E-05	2.26589E-06	2.82645E-07	2.1896E-08	1.31229E-09	6.02861E-11	2.60018E-12	9.73191E-14
